Date,Sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2020-03-30 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-30 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-30 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-30 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-30 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-30 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-30 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-31 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-01 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-02 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-03 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-06 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-07 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-08 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-09 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-13 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-14 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-15 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-16 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-16 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-16 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-16 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-16 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-16 00:00:00-04:00,Health Care,,,,,,,,,,,
